Code,Prompt
000,Do the dishes
001,Sweep the kitchen floor
002,Pull weeds for 10 minutes
003,Do 30 pushups
004,Take out the trash
005,Drink a full glass of water
006,Wipe down the bathroom counters
007,Do 20 squats
008,Read 5 pages of a book
009,Vacuum the living room
010,Make your bed
011,Do a 60-second plank
012,Organize one junk drawer
013,Walk around the block
014,Clean the toilet
015,Fold one load of laundry
016,Do 25 jumping jacks
017,Wipe down the microwave
018,Clear off your desk
019,Meditate for 5 minutes
020,Clean the mirrors
021,Empty the dishwasher
022,Do 15 lunges per leg
023,Dust the ceiling fans
024,Sort the mail
025,Stretch for 5 minutes
026,Clean out the fridge for 5 minutes
027,Mop the entry way
028,Write down 3 things you are grateful for
029,Water the plants
030,Clean the stovetop
031,Do 20 situps
032,Wipe down door handles
033,Organize your shoe rack
034,Take a multivitamin
035,Clean the sink faucet
036,Do 10 burpees
037,Match all loose socks
038,Wipe down the baseboards in one room
039,Floss your teeth
040,Scrub the shower
041,Do 30 high knees
042,Change the bed sheets
043,Clean the windows in one room
044,Declutter your email inbox for 5 minutes
045,Wipe down the kitchen table
046,Do 20 calf raises
047,Clean the coffee maker
048,Take the recycling out
049,Stand up and touch your toes
050,Wipe down light switches
051,Clean the toaster crumb tray
052,Do 15 tricep dips on a chair
053,Organize the spice rack
054,Clean your phone screen
055,Text a friend just to say hello
056,Put away 5 things that are out of place
057,Wipe down the TV screen
058,Do a wall sit for 45 seconds
059,Clean the bathroom floor
060,Shake out the rugs
061,Plan tomorrow's to-do list
062,Clean the lint trap in the dryer
063,Do 50 mountain climbers
064,Wipe down kitchen cabinets
065,Organize your computer desktop
066,Eat a piece of fruit
067,Clean the pet bowls
068,Do 10 box jumps (or step ups)
069,Sweep the front porch
070,Organize the Tupperware cabinet
071,Deep breathe for 2 minutes
072,Wipe down the car dashboard
073,Clean the bathroom mirror
074,Do 20 glute bridges
075,Empty all small trash cans in the house
076,Clean the blender
077,Rest your eyes for 5 minutes
078,Polish the silverware
079,Clean the oven window
080,Do 30 bicycle crunches
081,Refill the hand soap dispensers
082,Sanitize your keyboard and mouse
083,Go outside and get some sun for 10 minutes
084,Clean the washing machine seal
085,Wipe down the fridge handle
086,Do 15 reverse lunges
087,Organize your bookshelf
088,Clean the range hood
089,Listen to one favorite song
090,Sweep the garage for 5 minutes
091,Do 20 arm circles
092,Check the tire pressure on your car
093,Wipe down the banister
094,Review your bank transactions
095,Clean inside the microwave
096,Do 20 Russian twists
097,Dust the blinds in one room
098,Throw away one expired item from the pantry
099,Write a compliment to someone
100,Celebrate completing this list!
